source,target,route,travel_time,n_trips
1,2,1,90,1337
2,1,1,90,1402
2,3,1,90,1417
3,2,1,90,1402
3,4,1,90,1417
4,3,1,90,1402
4,5,1,90,1417
5,4,1,90,1402
5,6,1,60,1417
6,5,1,60,1427
6,7,1,90,1417
7,6,1,90,1427
7,8,1,90,1417
8,7,1,60,1427
8,9,1,90,1417
9,8,1,90,1427
9,10,1,120,1417
10,9,1,120,1427
10,11,1,90,1417
10,176,A,120,1096
10,177,A,90,185
10,177,C,60,673
10,179,A,210,926
11,10,1,90,1427
11,12,1,120,1417
12,11,1,120,1427
12,13,1,90,1417
13,12,1,90,1427
13,14,1,90,1447
14,13,1,120,1447
14,15,1,120,1447
15,14,1,120,1447
15,16,1,60,1447
16,15,1,60,1447
16,17,1,60,1447
17,16,1,90,1447
17,18,1,120,1447
18,17,1,90,1447
18,19,1,120,1447
18,19,2,120,117
18,21,2,150,955
18,21,3,150,974
18,62,2,240,1072
18,62,3,240,974
19,18,1,90,1447
19,18,2,90,122
19,20,1,60,1447
19,20,2,60,117
20,19,1,60,1447
20,19,2,60,122
20,21,1,90,1447
20,21,2,90,117
21,18,2,150,950
21,18,3,150,974
21,20,1,90,1447
21,20,2,90,122
21,22,1,90,1447
21,22,2,90,117
21,25,2,240,955
21,25,3,240,974
22,21,1,60,1447
22,21,2,60,122
22,23,1,90,1447
22,23,2,90,117
23,22,1,90,1447
23,22,2,90,122
23,24,1,120,1447
23,24,2,120,117
23,25,A,150,926
23,181,A,480,922
23,181,D,480,916
23,188,A,90,189
23,188,B,90,515
23,188,C,90,673
23,189,A,90,185
23,189,C,90,673
23,245,B,90,515
23,245,D,90,916
24,23,1,120,1447
24,23,2,120,122
24,25,1,90,1447
24,25,2,90,117
25,21,2,210,950
25,21,3,210,974
25,23,A,180,922
25,24,1,120,1447
25,24,2,120,122
25,26,1,90,1447
25,26,2,60,1072
25,26,3,60,833
25,142,GS,90,1866
25,170,7,90,1721
25,170,7X,90,325
25,171,7,210,1831
25,171,7X,210,215
25,189,A,90,189
25,189,C,90,673
25,189,E,90,1235
25,190,A,60,1111
25,190,C,60,673
25,190,E,60,1235
25,247,N,90,921
25,247,Q,90,1062
25,247,R,90,781
25,247,W,120,490
25,403,Q,150,942
25,404,N,90,896
25,404,Q,90,145
25,404,R,90,786
25,404,W,120,485
26,25,1,90,1447
26,25,2,60,1072
26,25,3,60,833
26,27,1,60,1447
26,27,2,60,117
26,30,2,150,955
26,30,3,150,833
27,26,1,60,1447
27,26,2,90,122
27,28,1,60,1447
27,28,2,60,117
28,27,1,60,1447
28,27,2,60,122
28,29,1,60,1447
28,29,2,60,117
29,28,1,60,1447
29,28,2,60,122
29,30,1,60,1447
29,30,2,60,117
30,26,2,150,950
30,26,3,150,833
30,29,1,60,1447
30,29,2,60,122
30,31,1,90,1447
30,31,2,90,117
30,35,2,270,955
30,35,3,270,833
30,146,L,90,1354
30,192,L,60,1354
30,193,F,90,1179
30,193,FX,120,10
30,193,M,90,815
30,248,F,90,1179
30,248,FX,90,10
30,248,M,90,815
31,30,1,90,1447
31,30,2,90,122
31,32,1,90,1447
31,32,2,90,117
32,31,1,90,1447
32,31,2,90,122
32,33,1,90,1447
32,33,2,120,117
33,32,1,90,1447
33,32,2,90,122
33,34,1,60,1447
33,34,2,60,117
34,33,1,60,1447
34,33,2,60,122
34,35,1,60,1447
34,35,2,60,117
35,30,2,240,950
35,30,3,240,833
35,34,1,60,1447
35,34,2,90,122
35,36,1,90,1447
35,63,2,60,1072
35,63,3,60,833
36,35,1,60,1447
36,37,1,90,1447
37,36,1,60,1447
37,38,1,120,1447
37,38,N,120,149
37,38,R,120,781
37,38,W,120,490
37,63,N,60,155
37,63,R,60,786
37,63,W,60,485
38,37,1,120,1447
38,37,N,90,155
38,37,R,90,786
38,37,W,120,485
38,67,N,210,149
38,67,R,210,921
38,67,W,210,15
39,40,2,90,1052
40,39,2,120,1072
40,39,5,120,10
40,41,2,90,1072
40,41,5,90,60
41,40,2,90,1072
41,40,5,90,70
41,42,2,60,1072
41,42,5,90,60
42,41,2,60,1072
42,41,5,90,70
42,43,2,60,1072
42,43,5,90,60
43,42,2,60,1072
43,42,5,60,70
43,44,2,90,1072
43,44,5,90,60
44,43,2,90,1072
44,43,5,90,70
44,45,2,90,1072
44,45,5,90,60
45,44,2,90,1072
