route,name,color
1,Broadway - 7 Avenue Local,EE352E
2,7 Avenue Express,EE352E
3,7 Avenue Express,EE352E
4,Lexington Avenue Express,00933C
5,Lexington Avenue Express,00933C
5X,Lexington Avenue Express,00933C
6,Lexington Avenue Local,00933C
6X,Pelham Bay Park Express,00A65C
7,Flushing Local,B933AD
7X,Flushing Express,B933AD
A,8 Avenue Express,2850AD
B,6 Avenue Express,FF6319
C,8 Avenue Local,2850AD
D,6 Avenue Express,FF6319
E,8 Avenue Local,2850AD
F,Queens Blvd Express/ 6 Av Local,FF6319
FS,Franklin Avenue Shuttle,NA
FX,Brooklyn F Express,FF6319
G,Brooklyn-Queens Crosstown,6CBE45
GS,42 St Shuttle,6D6E71
H,Rockaway Park Shuttle,NA
J,Nassau St Local,996633
L,14 St-Canarsie Local,A7A9AC
M,Queens Blvd Local/6 Av Local,FF6319
N,Broadway Local,FCCC0A
Q,Broadway Express,FCCC0A
R,Broadway Local,FCCC0A
SI,Staten Island Railway,NA
W,Broadway Local,FCCC0A
Z,Nassau St Express,996633
