stop_id,stop_name,stop_lat,stop_lon,stop_borough
1,Astoria - Ditmars Blvd,40.775036,-73.912034,Queens
2,Astoria Blvd,40.770258,-73.917843,Queens
3,30 Av,40.766779,-73.921479,Queens
4,Broadway,40.76182,-73.925508,Queens
5,36 Av,40.756804,-73.929575,Queens
6,39 Av,40.752882,-73.932755,Queens
8,5 Av/59 St,40.764811,-73.973347,Manhattan
9,57 St - 7 Av,40.764664,-73.980658,Manhattan
10,49 St,40.759901,-73.984139,Manhattan
13,28 St,40.745494,-73.988691,Manhattan
14,23 St,40.741303,-73.989344,Manhattan
16,8 St - NYU,40.730328,-73.992629,Manhattan
17,Prince St,40.724329,-73.997702,Manhattan
20,City Hall,40.713282,-74.006978,Manhattan
22,Rector St,40.70722,-74.013342,Manhattan
26,DeKalb Av,40.690635,-73.981824,Brooklyn
28,Union St,40.677316,-73.98311,Brooklyn
30,Prospect Av,40.665414,-73.992872,Brooklyn
31,25 St,40.660397,-73.998091,Brooklyn
32,36 St,40.655144,-74.003549,Brooklyn
33,45 St,40.648939,-74.010006,Brooklyn
34,53 St,40.645069,-74.014034,Brooklyn
35,59 St,40.641362,-74.017881,Brooklyn
36,Bay Ridge Av,40.634967,-74.023377,Brooklyn
37,77 St,40.629742,-74.02551,Brooklyn
38,86 St,40.622687,-74.028398,Brooklyn
39,Bay Ridge - 95 St,40.616622,-74.030876,Brooklyn
41,7 Av,40.67705,-73.972367,Brooklyn
42,Prospect Park,40.661614,-73.962246,Brooklyn
43,Parkside Av,40.655292,-73.961495,Brooklyn
44,Church Av,40.650527,-73.962982,Brooklyn
45,Beverley Rd,40.644031,-73.964492,Brooklyn
46,Cortelyou Rd,40.640927,-73.963891,Brooklyn
47,Newkirk Plaza,40.635082,-73.962793,Brooklyn
48,Avenue H,40.62927,-73.961639,Brooklyn
49,Avenue J,40.625039,-73.960803,Brooklyn
50,Avenue M,40.617618,-73.959399,Brooklyn
51,Kings Hwy,40.60867,-73.957734,Brooklyn
52,Avenue U,40.5993,-73.955929,Brooklyn
53,Neck Rd,40.595246,-73.955161,Brooklyn
54,Sheepshead Bay,40.586896,-73.954155,Brooklyn
55,Brighton Beach,40.577621,-73.961376,Brooklyn
56,Ocean Pkwy,40.576312,-73.968501,Brooklyn
57,W 8 St - NY Aquarium,40.576127,-73.975939,Brooklyn
58,Coney Island - Stillwell Av,40.577422,-73.981233,Brooklyn
59,9 Av,40.646292,-73.994324,Brooklyn
60,Fort Hamilton Pkwy,40.640914,-73.994304,Brooklyn
61,50 St,40.63626,-73.994791,Brooklyn
62,55 St,40.631435,-73.995476,Brooklyn
64,71 St,40.619589,-73.998864,Brooklyn
65,79 St,40.613501,-74.00061,Brooklyn
66,18 Av,40.607954,-74.001736,Brooklyn
67,20 Av,40.604556,-73.998168,Brooklyn
68,Bay Pkwy,40.601875,-73.993728,Brooklyn
69,25 Av,40.597704,-73.986829,Brooklyn
70,Bay 50 St,40.588841,-73.983765,Brooklyn
71,8 Av,40.635064,-74.011719,Brooklyn
72,Fort Hamilton Pkwy,40.631386,-74.005351,Brooklyn
74,18 Av,40.620671,-73.990414,Brooklyn
75,20 Av,40.61741,-73.985026,Brooklyn
76,Bay Pkwy,40.611815,-73.981848,Brooklyn
77,Kings Hwy,40.603923,-73.980353,Brooklyn
78,Avenue U,40.597473,-73.979137,Brooklyn
79,86 St,40.592721,-73.97823,Brooklyn
80,121 St,40.700492,-73.828294,Queens
81,111 St,40.697418,-73.836345,Queens
82,104 St,40.695178,-73.84433,Queens
83,Woodhaven Blvd,40.693879,-73.851576,Queens
84,85 St - Forest Pkwy,40.692435,-73.86001,Queens
85,75 St,40.691324,-73.867139,Queens
86,Cypress Hills,40.689941,-73.87255,Brooklyn
87,Crescent St,40.683194,-73.873785,Brooklyn
88,Norwood Av,40.68141,-73.880039,Brooklyn
89,Cleveland St,40.679947,-73.884639,Brooklyn
90,Van Siclen Av,40.678024,-73.891688,Brooklyn
91,Alabama Av,40.676992,-73.898654,Brooklyn
93,Chauncey St,40.682893,-73.910456,Brooklyn
94,Halsey St,40.68637,-73.916559,Brooklyn
