source,target,route_id,travel_time
1,2,N,90
1,2,W,90
2,1,N,90
2,1,W,120
2,3,N,60
2,3,W,90
3,2,N,60
3,2,W,60
3,4,N,90
3,4,W,90
4,3,N,90
4,3,W,120
4,5,N,120
4,5,W,120
5,4,N,90
5,4,W,90
5,6,N,60
5,6,W,60
6,5,N,60
6,5,W,90
6,461,N,120
6,461,W,150
8,9,N,150
8,9,R,150
8,9,W,150
8,613,N,90
8,613,R,90
8,613,W,90
9,8,N,150
9,8,R,150
9,8,W,150
9,10,N,90
9,10,Q,90
9,10,R,90
9,10,W,90
9,223,Q,150
10,9,N,90
10,9,Q,120
10,9,R,90
10,9,W,120
10,611,N,90
10,611,Q,90
10,611,R,90
10,611,W,90
13,14,N,60
13,14,Q,60
13,14,R,60
13,14,W,90
13,607,N,60
13,607,Q,60
13,607,R,60
13,607,W,60
14,13,N,60
14,13,Q,60
14,13,R,60
14,13,W,60
14,602,N,90
14,602,Q,90
14,602,R,90
14,602,W,90
16,17,N,90
16,17,Q,90
16,17,R,90
16,17,W,120
16,602,N,90
16,602,Q,90
16,602,R,90
16,602,W,90
17,16,N,90
17,16,Q,90
17,16,R,90
17,16,W,120
17,623,N,90
17,623,Q,120
17,623,R,90
17,623,W,90
20,623,N,150
20,623,R,150
20,623,W,150
20,624,N,120
20,624,R,120
20,624,W,120
22,624,N,60
22,624,R,60
22,624,W,60
22,635,N,120
22,635,R,120
22,635,W,120
26,231,B,480
26,231,D,480
26,617,B,90
26,617,D,180
26,617,N,180
26,617,Q,90
26,617,R,180
26,617,W,210
26,623,Q,480
26,636,N,90
26,636,R,90
26,636,W,90
28,608,D,90
28,608,N,90
28,608,R,90
28,608,W,90
28,617,D,120
28,617,N,120
28,617,R,120
28,617,W,120
30,31,D,90
30,31,N,90
30,31,R,90
30,31,W,90
30,608,D,120
30,608,N,120
30,608,R,90
30,608,W,90
31,30,D,90
31,30,N,90
31,30,R,90
31,30,W,90
31,32,D,90
31,32,N,90
31,32,R,90
31,32,W,90
32,31,D,90
32,31,N,90
32,31,R,90
32,31,W,90
32,33,N,120
32,33,R,120
32,33,W,120
32,59,D,240
32,617,Q,330
33,32,N,150
33,32,Q,150
33,32,R,150
33,32,W,150
33,34,N,90
33,34,R,90
33,34,W,90
34,33,N,90
34,33,Q,90
34,33,R,90
34,33,W,90
34,35,N,90
34,35,R,90
34,35,W,90
35,34,N,90
35,34,Q,90
35,34,R,90
35,34,W,90
35,36,R,120
35,71,N,180
35,71,W,180
36,35,R,120
36,37,R,60
37,36,R,90
37,38,R,120
38,37,R,120
38,39,R,120
39,38,R,90
41,42,B,240
41,42,Q,240
41,617,B,120
41,617,Q,120
42,41,B,210
42,41,Q,210
42,43,Q,90
42,44,B,120
42,626,FS,180
43,42,Q,90
43,44,Q,60
44,42,B,120
44,43,Q,90
44,45,Q,90
44,47,B,150
45,44,Q,90
45,46,Q,30
46,45,Q,30
46,47,Q,90
47,44,B,150
47,46,Q,90
47,48,Q,60
47,51,B,240
48,47,Q,60
48,49,Q,60
49,48,Q,60
49,50,Q,90
50,49,Q,90
50,51,Q,120
51,47,B,270
51,50,Q,120
51,52,Q,150
51,54,B,240
52,51,Q,120
52,53,Q,60
53,52,Q,60
53,54,Q,150
54,51,B,240
54,53,Q,120
54,55,B,120
54,55,Q,120
55,54,B,120
55,54,Q,120
55,56,Q,120
56,55,Q,120
56,57,Q,120
57,56,Q,90
57,58,F,90
57,58,FX,90
57,58,Q,90
57,253,F,90
57,253,FX,90
58,57,F,90
58,57,FX,90
58,57,Q,90
58,70,D,240
58,79,N,240
59,32,D,240
59,60,D,120
60,59,D,120
60,61,D,90
61,60,D,90
61,62,D,90
62,61,D,90
62,615,D,90
64,65,D,90
64,615,D,120
65,64,D,90
65,66,D,90
66,65,D,90
66,67,D,90
67,66,D,60
67,68,D,60
68,67,D,60
68,69,D,90
69,68,D,90
69,70,D,120
70,58,D,240
70,69,D,120
71,35,N,180
71,35,Q,180
71,35,W,180
71,72,N,90
71,72,W,90
72,71,N,60
72,71,Q,60
72,71,W,60
72,615,N,120
72,615,W,120
74,75,N,90
74,75,W,90
74,615,N,90
74,615,Q,90
74,615,W,90
75,74,N,60
75,74,Q,60
75,74,W,60
75,76,N,90
